Executando,10,vezes,com,10000000,elementos,e,1,threads
8.585735,,,,,,,,
8.571583,,,,,,,,
8.582048,,,,,,,,
8.572326,,,,,,,,
8.591552,,,,,,,,
8.591255,,,,,,,,
8.578373,,,,,,,,
8.772513,,,,,,,,
8.57919,,,,,,,,
8.57681,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,2.0,threads
4.502007,,,,,,,,
4.518477,,,,,,,,
4.502082,,,,,,,,
4.526912,,,,,,,,
4.520942,,,,,,,,
4.489907,,,,,,,,
4.516104,,,,,,,,
4.504331,,,,,,,,
4.512162,,,,,,,,
4.511025,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,3.0,threads
3.283824,,,,,,,,
3.285046,,,,,,,,
3.290636,32.816877,,,,,,,
3.27994,,,,,,,,
3.290771,,,,,,,,
3.289189,,,,,,,,
3.270343,,,,,,,,
3.275617,,,,,,,,
3.283754,,,,,,,,
3.267757,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,4.0,threads
2.432583,,,,,,,,
2.432902,,,,,,,,
2.436318,,,,,,,,
2.436292,,,,,,,,
2.43874,,,,,,,,
2.437116,,,,,,,,
2.436806,,,,,,,,
2.434652,,,,,,,,
2.435917,,,,,,,,
2.434648,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,5.0,threads
1.97968,,,,,,,,
1.979521,,,,,,,,
1.980935,,,,,,,,
1.980602,,,,,,,,
1.979679,,,,,,,,
1.981106,,,,,,,,
1.979889,,,,,,,,
1.979047,,,,,,,,
1.980385,,,,,,,,
1.979402,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,6.0,threads
1.690452,,,,,,,,
1.689916,,,,,,,,
1.690192,,,,,,,,
1.690063,,,,,,,,
1.691338,,,,,,,,
1.688436,,,,,,,,
1.689218,,,,,,,,
1.690161,,,,,,,,
1.692597,,,,,,,,
1.690283,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,7.0,threads
1.493411,,,,,,,,
1.491072,,,,,,,,
1.494247,,,,,,,,
1.493832,,,,,,,,
1.491908,,,,,,,,
1.493053,,,,,,,,
1.491429,,,,,,,,
1.493623,,,,,,,,
1.494948,,,,,,,,
1.494672,,,,,,,,
Executando,10.0,vezes,com,10000000.0,elementos,e,8.0,threads
1.368825,,,,,,,,
1.370428,,,,,,,,
1.374022,,,,,,,,
1.376203,,,,,,,,
1.373327,,,,,,,,
1.371931,,,,,,,,
1.373697,,,,,,,,
1.395279,,,,,,,,
1.374221,,,,,,,,
1.368082,,,,,,,,
